cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
3063.335309,3179.345036,3278.994932,3170.671316,3339.173409,3262.29997,3195.516857,3148.822925,3250.310828,3289.829561,3063.335309,3179.345036,3278.994932,3170.671316,3339.173409,3262.29997,3195.516857,3148.822925,3250.310828,3289.829561
2655.714857,2662.847874,2577.991445,2751.269841,2827.349745,2867.852727,2911.563149,2668.347392,2678.376471,2750.286893,2655.714857,2662.847874,2577.991445,2751.269841,2827.349745,2867.852727,2911.563149,2668.347392,2678.376471,2750.286893
2293.278223,2297.948988,2251.237835,2207.904418,2152.747817,2176.38988,2246.76992,2252.447926,2205.007959,2415.398198,2293.278223,2297.948988,2251.237835,2207.904418,2152.747817,2176.38988,2246.76992,2252.447926,2205.007959,2415.398198
1934.464873,1954.527686,1893.617718,2187.835394,2022.954823,2046.01514,2146.481195,1931.351762,2061.118491,1918.870828,1934.464873,1954.527686,1893.617718,2187.835394,2022.954823,2046.01514,2146.481195,1931.351762,2061.118491,1918.870828
1549.77813,1685.460882,1375.925117,1803.272318,1484.511885,1447.594608,1512.419016,1495.847911,1714.674656,1325.67018,1549.77813,1685.460882,1375.925117,1803.272318,1484.511885,1447.594608,1512.419016,1495.847911,1714.674656,1325.67018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121.295309,1075.368671,1211.601279,1117.397115,1192.581534,1190.829383,1196.721829,1165.292196,1154.151089,1189.05247,1121.295309,1075.368671,1211.601279,1117.397115,1192.581534,1190.829383,1196.721829,1165.292196,1154.151089,1189.05247
1469.304906,1430.039448,1562.068477,1513.136942,1668.579895,1553.058002,1536.516367,1449.1079,1441.440865,1602.279098,1469.304906,1430.039448,1562.068477,1513.136942,1668.579895,1553.058002,1536.516367,1449.1079,1441.440865,1602.279098
1880.851401,1875.229161,1997.904452,1730.927985,2184.98148,1823.97549,1811.515144,2115.746907,1831.386708,1825.637749,1880.851401,1875.229161,1997.904452,1730.927985,2184.98148,1823.97549,1811.515144,2115.746907,1831.386708,1825.637749
2497.206234,2473.550071,2396.539966,2640.128719,2574.00512,2741.80001,2449.326079,2329.083005,2441.868857,2271.011165,2497.206234,2473.550071,2396.539966,2640.128719,2574.00512,2741.80001,2449.326079,2329.083005,2441.868857,2271.011165
2902.865437,2756.900151,2566.324218,2850.048446,2753.263255,2643.372953,2713.890372,2663.702889,2571.082761,2579.460212,2902.865437,2756.900151,2566.324218,2850.048446,2753.263255,2643.372953,2713.890372,2663.702889,2571.082761,2579.460212
2535.321184,2722.074269,2782.608993,2752.535005,2573.7889,2904.791468,2609.163198,2741.323376,2847.479954,2798.074082,2535.321184,2722.074269,2782.608993,2752.535005,2573.7889,2904.791468,2609.163198,2741.323376,2847.479954,2798.074082
2590.643263,2754.755505,2669.665789,2638.379409,2797.976262,2716.163642,2585.131101,2460.977955,2700.061611,2813.989396,2590.643263,2754.755505,2669.665789,2638.379409,2797.976262,2716.163642,2585.131101,2460.977955,2700.061611,2813.989396
2718.05626,2947.675363,2901.674762,3030.159599,2924.599865,2887.240419,3031.165279,2810.276019,2956.500171,3087.28889,2718.05626,2947.675363,2901.674762,3030.159599,2924.599865,2887.240419,3031.165279,2810.276019,2956.500171,3087.28889
2479.94262,2630.128272,2780.657923,2924.765713,2653.395151,2973.152265,2797.687975,2702.555088,2689.446505,2584.326833,2479.94262,2630.128272,2780.657923,2924.765713,2653.395151,2973.152265,2797.687975,2702.555088,2689.446505,2584.326833
3039.793372,3018.225158,3208.765357,3122.957155,2950.366623,3114.012492,3020.873566,3310.388084,3061.614383,3132.538871,3039.793372,3018.225158,3208.765357,3122.957155,2950.366623,3114.012492,3020.873566,3310.388084,3061.614383,3132.538871
3396.953385,3468.158903,3381.887199,3339.238984,3362.744701,3483.447061,3387.653259,3524.507077,3389.827426,3418.986278,3396.953385,3468.158903,3381.887199,3339.238984,3362.744701,3483.447061,3387.653259,3524.507077,3389.827426,3418.986278
3008.607232,3013.303142,2932.896275,2921.725673,3008.43978,2971.950505,3059.202715,3280.82686,2941.52097,3130.453596,3008.607232,3013.303142,2932.896275,2921.725673,3008.43978,2971.950505,3059.202715,3280.82686,2941.52097,3130.453596
2399.50304,2386.076102,2253.037594,2456.131232,2478.632279,2300.783043,2167.554812,2311.889224,2394.701487,2301.480217,2399.50304,2386.076102,2253.037594,2456.131232,2478.632279,2300.783043,2167.554812,2311.889224,2394.701487,2301.480217
1902.821776,2001.676518,1775.753499,1943.645899,1739.777076,1706.787581,1867.767494,1919.906286,1761.050731,2103.538416,1902.821776,2001.676518,1775.753499,1943.645899,1739.777076,1706.787581,1867.767494,1919.906286,1761.050731,2103.538416
1493.151167,1606.842786,1592.33444,1775.5085,1518.525494,1625.103408,1565.290217,1692.925386,1773.319595,1531.668593,1493.151167,1606.842786,1592.33444,1775.5085,1518.525494,1625.103408,1565.290217,1692.925386,1773.319595,1531.668593
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428.75689,1317.367925,1418.632289,1343.83131,1260.954713,1447.472159,1342.058049,1404.100518,1335.322121,1352.055162,1428.75689,1317.367925,1418.632289,1343.83131,1260.954713,1447.472159,1342.058049,1404.100518,1335.322121,1352.055162
1599.249436,1598.421893,1794.782603,1593.778946,1478.13177,1608.628977,1597.412059,1727.679894,1772.416774,1607.782724,1599.249436,1598.421893,1794.782603,1593.778946,1478.13177,1608.628977,1597.412059,1727.679894,1772.416774,1607.782724
